Class,Category,ID,Term,Genes,adj_pval
BC3,BP,GO:0021953,central nervous system neuron differentiation,"Cdh11, Nrp2, Nfib, Zeb2, Lhx4, Lmo4",0.004887299
BC3,BP,GO:0003012,muscle system process,"Ryr3, Prkg1, Cacna1h, Pde4d, Scn1a, Cald1, Sulf2, Tbx2",0.005754296
BC3,BP,GO:0016082,synaptic vesicle priming,"Unc13c, Stxbp5, Rims1",0.006018341
BC3,BP,GO:0016079,synaptic vesicle exocytosis,"Grm7, Unc13c, Stxbp5, Kcnh1, Rims1",0.006470194
BC3,BP,GO:0099504,synaptic vesicle cycle,"Grm7, Unc13c, Pcdh17, Stxbp5, Kcnh1, Rims1",0.006808368
BC3,BP,GO:0021952,central nervous system projection neuron axonogenesis,"Cdh11, Nfib, Zeb2",0.008095661
BC3,BP,GO:0042391,regulation of membrane potential,"Kcnmb2, Cacna1h, Trpc4, Scn1a, Ank3, Kcnh1, Rims1, Kcnmb4",0.008203529
BC3,BP,GO:0086010,membrane depolarization during action potential,"Cacna1h, Scn1a, Ank3",0.008203529
BC3,BP,GO:0007043,cell-cell junction assembly,"Cdh11, Cdh18, Tjp1, Jam3, Cgn",0.008203529
BC3,BP,GO:0017157,regulation of exocytosis,"Grm7, Cacna1h, Rab3c, Stxbp5, Kcnh1, Rims1",0.008964812
BC3,BP,GO:2000300,regulation of synaptic vesicle exocytosis,"Grm7, Stxbp5, Kcnh1, Rims1",0.009490018
BC3,BP,GO:0099003,vesicle-mediated transport in synapse,"Grm7, Unc13c, Pcdh17, Stxbp5, Kcnh1, Rims1",0.009493758
BC3,BP,GO:0021954,central nervous system neuron development,"Cdh11, Nrp2, Nfib, Zeb2",0.011583433
BC3,BP,GO:0140029,exocytic process,"Unc13c, Rab3c, Stxbp5, Rims1",0.011583433
BC3,BP,GO:0030900,forebrain development,"Prkg1, Nrp2, Nfib, Zeb2, Cdon, Slitrk5, Nr2f1",0.014076576
BC3,BP,GO:0006904,vesicle docking involved in exocytosis,"Unc13c, Rab3c, Rims1",0.014076576
BC3,BP,GO:0048813,dendrite morphogenesis,"Ctnna2, Adgrb3, Tanc2, Ptprz1, Slitrk5",0.014076576
BC3,BP,GO:1903305,regulation of regulated secretory pathway,"Grm7, Cacna1h, Stxbp5, Kcnh1, Rims1",0.014076576
BC3,BP,GO:0045055,regulated exocytosis,"Grm7, Unc13c, Cacna1h, Stxbp5, Kcnh1, Rims1",0.014076576
BC3,BP,GO:0007269,neurotransmitter secretion,"Grm7, Unc13c, Stxbp5, Kcnh1, Rims1",0.014076576
BC3,BP,GO:0099643,signal release from synapse,"Grm7, Unc13c, Stxbp5, Kcnh1, Rims1",0.014076576
BC3,BP,GO:0021955,central nervous system neuron axonogenesis,"Cdh11, Nfib, Zeb2",0.014076576
BC3,BP,GO:0030534,adult behavior,"Grm7, Pcdh17, Scn1a, Slitrk5, Pcdh15",0.014511081
BC3,BP,GO:0006887,exocytosis,"Grm7, Unc13c, Cacna1h, Rab3c, Stxbp5, Kcnh1, Rims1",0.014511081
BC3,BP,GO:0032970,regulation of actin filament-based process,"Epha3, Ctnna2, Cacna1h, Sema3e, Pde4d, Tjp1, Jam3",0.014511081
BC3,BP,GO:0007416,synapse assembly,"Cntn5, Adgrl2, Adgrb3, Pcdh17, Slitrk5",0.014511081
BC3,BP,GO:0001764,neuron migration,"Ctnna2, Prkg1, Nrp2, Ptprz1, Nr2f1",0.014863899
BC3,BP,GO:0099509,regulation of presynaptic cytosolic calcium ion concentration,"Scgn, Kcnh1",0.015148973
BC3,BP,GO:0050905,neuromuscular process,"Ctnna2, Scn1a, Csmd1, Pcdh15, Kcnh1",0.015594367
BC3,BP,GO:0016358,dendrite development,"Ctnna2, Prkg1, Adgrb3, Tanc2, Ptprz1, Slitrk5",0.016968063
BC3,BP,GO:0005513,detection of calcium ion,"Kcnmb2, Kcnmb4",0.016968063
BC3,BP,GO:0010807,regulation of synaptic vesicle priming,"Stxbp5, Rims1",0.016968063
BC3,BP,GO:0008038,neuron recognition,"Cntn5, Epha3, Ptprz1",0.017948702
BC3,BP,GO:0070085,glycosylation,"Grm7, Tmtc2, St6gal2, St6galnac5, Tmtc1",0.017948702
BC3,BP,GO:0045216,cell-cell junction organization,"Cdh11, Cdh18, Tjp1, Jam3, Cgn",0.018766981
BC3,BP,GO:0010649,regulation of cell communication by electrical coupling,"Pde4d, Ank3",0.018785226
BC3,BP,GO:0046928,regulation of neurotransmitter secretion,"Grm7, Stxbp5, Kcnh1, Rims1",0.019551628
BC3,BP,GO:0099054,presynapse assembly,"Cntn5, Pcdh17, Slitrk5",0.019551628
BC3,BP,GO:1901888,regulation of cell junction assembly,"Epha3, Adgrl2, Adgrb3, Slitrk5, Tjp1",0.02015484
BC3,BP,GO:0016081,synaptic vesicle docking,"Unc13c, Rims1",0.023981755
BC3,BP,GO:0048278,vesicle docking,"Unc13c, Rab3c, Rims1",0.026016159
BC3,BP,GO:0099172,presynapse organization,"Cntn5, Pcdh17, Slitrk5",0.026016159
BC3,BP,GO:0035269,protein O-linked mannosylation,"Tmtc2, Tmtc1",0.026232267
BC3,BP,GO:0006813,potassium ion transport,"Slc24a3, Kcnmb2, Ank3, Kcnh1, Kcnmb4",0.027189557
BC3,BP,GO:0001755,neural crest cell migration,"Nrp2, Sema3e, Zeb2",0.027189557
BC3,BP,GO:0051588,regulation of neurotransmitter transport,"Grm7, Stxbp5, Kcnh1, Rims1",0.02736481
BC3,BP,GO:0006836,neurotransmitter transport,"Grm7, Unc13c, Stxbp5, Kcnh1, Rims1",0.027615267
BC3,BP,GO:0043951,negative regulation of cAMP-mediated signaling,"Pde4d, Pde3a",0.027615267
BC3,BP,GO:0043954,cellular component maintenance,"Adgrb3, Zfp804a, Tjp1",0.031859727
BC3,BP,GO:0086003,cardiac muscle cell contraction,"Cacna1h, Pde4d, Scn1a",0.032556864
BC3,BP,GO:0001505,regulation of neurotransmitter levels,"Grm7, Unc13c, Stxbp5, Kcnh1, Rims1",0.032556864
BC3,BP,GO:0021537,telencephalon development,"Nfib, Zeb2, Cdon, Slitrk5, Nr2f1",0.032556864
BC3,BP,GO:0010644,cell communication by electrical coupling,"Pde4d, Ank3",0.032556864
BC3,BP,GO:0017156,calcium-ion regulated exocytosis,"Unc13c, Cacna1h, Rims1",0.033540002
BC3,BP,GO:0022612,gland morphogenesis,"Nfib, Csmd1, Sulf2, Tbx2",0.033916298
BC3,BP,GO:0051956,negative regulation of amino acid transport,"Grm7, Slc43a2",0.034818229
BC3,BP,GO:0035268,protein mannosylation,"Tmtc2, Tmtc1",0.038083756
BC3,BP,GO:0006937,regulation of muscle contraction,"Prkg1, Cacna1h, Pde4d, Cald1",0.039472426
BC3,BP,GO:0140056,organelle localization by membrane tethering,"Unc13c, Rab3c, Rims1",0.039472426
BC3,BP,GO:0043117,positive regulation of vascular permeability,"Pde3a, Tjp1",0.039472426
BC3,BP,GO:0097502,mannosylation,"Tmtc2, Tmtc1",0.039472426
BC3,BP,GO:0034109,homotypic cell-cell adhesion,"Prkg1, Ank3, Plpp3",0.039472426
BC3,BP,GO:0060560,developmental growth involved in morphogenesis,"Nrp2, Sema3e, Zeb2, Tbx2, Rims1",0.040881712
BC3,BP,GO:0051965,positive regulation of synapse assembly,"Adgrl2, Adgrb3, Slitrk5",0.041383104
BC3,BP,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,"Unc13c, Rims1",0.041608841
BC3,BP,GO:0022406,membrane docking,"Unc13c, Rab3c, Rims1",0.043329348
BC3,BP,GO:0006941,striated muscle contraction,"Ryr3, Cacna1h, Pde4d, Scn1a",0.043342495
BC3,BP,GO:0060485,mesenchyme development,"Epha3, Nrp2, Sema3e, Zeb2, Tbx2",0.046314051
BC3,BP,GO:0051899,membrane depolarization,"Cacna1h, Scn1a, Ank3",0.046314051
BC3,BP,GO:0070588,calcium ion transmembrane transport,"Slc24a3, Ryr3, Cacna1h, Trpc4, Pde4d",0.047761577
BC3,BP,GO:0007413,axonal fasciculation,"Epha3, Ptprz1",0.049396775
BC3,BP,GO:0106030,neuron projection fasciculation,"Epha3, Ptprz1",0.049396775
BC3,BP,GO:0014032,neural crest cell development,"Nrp2, Sema3e, Zeb2",0.049396775
BC3,BP,GO:0071772,response to BMP,"Vwc2, Vwc2l, Bmpr1b, Vstm2a",0.049396775
BC3,BP,GO:0071773,cellular response to BMP stimulus,"Vwc2, Vwc2l, Bmpr1b, Vstm2a",0.049396775
BC3,CC,GO:0097060,synaptic membrane,"Cntn5, Grm7, Ctnna2, Unc13c, Cacna1h, Nrp2, Gabbr2, Adgrl2, Gria4, Pcdh17, Ptprz1, Kctd8, Ank3, Tenm2, Kcnh1, Rims1, Cadm3",2.03E-12
BC3,CC,GO:0045211,postsynaptic membrane,"Grm7, Ctnna2, Cacna1h, Nrp2, Gabbr2, Adgrl2, Gria4, Pcdh17, Ptprz1, Kctd8, Ank3, Tenm2, Kcnh1",5.81E-10
BC3,CC,GO:0098793,presynapse,"Cntn5, Grm7, Epha3, Ctnna2, Unc13c, Cacna1h, Rab3c, Gria4, Pcdh17, Zfp804a, Stxbp5, Scgn, Kcnh1, Rims1, Cadm3",4.54E-09
BC3,CC,GO:0034703,cation channel complex,"Ryr3, Kcnmb2, Cacna1h, Trpc4, Gria4, Pde4d, Scn1a, Vwc2, Vwc2l, Kcnh1, Kcnmb4",6.52E-09
BC3,CC,GO:0034702,ion channel complex,"Ryr3, Kcnmb2, Cacna1h, Trpc4, Gria4, Pde4d, Scn1a, Vwc2, Stxbp5, Vwc2l, Kcnh1, Kcnmb4",6.52E-09
BC3,CC,GO:1902495,transmembrane transporter complex,"Cngb3, Ryr3, Kcnmb2, Cacna1h, Trpc4, Gria4, Pde4d, Scn1a, Vwc2, Stxbp5, Vwc2l, Kcnh1, Kcnmb4",6.95E-09
BC3,CC,GO:1990351,transporter complex,"Cngb3, Ryr3, Kcnmb2, Cacna1h, Trpc4, Gria4, Pde4d, Scn1a, Vwc2, Stxbp5, Vwc2l, Kcnh1, Kcnmb4",9.16E-09
BC3,CC,GO:0042734,presynaptic membrane,"Cntn5, Grm7, Ctnna2, Unc13c, Cacna1h, Pcdh17, Kcnh1, Rims1, Cadm3",1.20E-08
BC3,CC,GO:0043235,receptor complex,"Grm7, Epha3, Gabbr2, Gria4, Vwc2, Cntfr, Slitrk5, Stxbp5, Vwc2l, Kctd8, Bmpr1b",2.19E-06
BC3,CC,GO:0098688,parallel fiber to Purkinje cell synapse,"Ctnna2, Unc13c, Kcnh1, Cadm3",4.43E-06
BC3,CC,GO:0099240,intrinsic component of synaptic membrane,"Cntn5, Cacna1h, Nrp2, Adgrl2, Pcdh17, Cadm3",5.46E-05
BC3,CC,GO:0048786,presynaptic active zone,"Grm7, Ctnna2, Unc13c, Cacna1h, Rims1",6.42E-05
BC3,CC,GO:0098978,glutamatergic synapse,"Cdh11, Grm7, Cacna1h, Nrp2, Adgrl2, Gria4, Pcdh17, Rims1",0.000136059
BC3,CC,GO:0034705,potassium channel complex,"Kcnmb2, Gria4, Pde4d, Kcnh1, Kcnmb4",0.000136059
BC3,CC,GO:0044291,cell-cell contact zone,"Tmem65, Scn1a, Tjp1, Jam3, Ank3",0.000136059
BC3,CC,GO:0098831,presynaptic active zone cytoplasmic component,"Ctnna2, Unc13c, Rims1",0.000245536
BC3,CC,GO:0098889,intrinsic component of presynaptic membrane,"Cntn5, Cacna1h, Pcdh17, Cadm3",0.000250949
BC3,CC,GO:0098802,plasma membrane signaling receptor complex,"Gabbr2, Gria4, Vwc2, Cntfr, Stxbp5, Vwc2l",0.000266512
BC3,CC,GO:0099699,integral component of synaptic membrane,"Cacna1h, Nrp2, Adgrl2, Pcdh17, Cadm3",0.000341126
BC3,CC,GO:0034704,calcium channel complex,"Ryr3, Cacna1h, Trpc4, Pde4d",0.000493172
BC3,CC,GO:0060076,excitatory synapse,"Ctnna2, Unc13c, Kcnh1, Cadm3",0.000499729
BC3,CC,GO:0014704,intercalated disc,"Tmem65, Scn1a, Tjp1, Ank3",0.000538346
BC3,CC,GO:0098982,GABA-ergic synapse,"Cntn5, Epha3, Pcdh17, Rims1",0.000612982
BC3,CC,GO:0034706,sodium channel complex,"Cacna1h, Gria4, Scn1a",0.000687333
BC3,CC,GO:0032281,AMPA glutamate receptor complex,"Gria4, Vwc2, Vwc2l",0.000820329
BC3,CC,GO:0016342,catenin complex,"Cdh11, Ctnna2, Cdh18",0.000965658
BC3,CC,GO:0016323,basolateral plasma membrane,"Ctnna2, Trpc4, Car2, Tjp1, Ank3, Plpp3",0.001044845
BC3,CC,GO:0099055,integral component of postsynaptic membrane,"Cacna1h, Nrp2, Adgrl2, Pcdh17",0.001132411
BC3,CC,GO:0098936,intrinsic component of postsynaptic membrane,"Cacna1h, Nrp2, Adgrl2, Pcdh17",0.001305153
BC3,CC,GO:0043195,terminal bouton,"Grm7, Unc13c, Gria4, Scgn",0.001316988
BC3,CC,GO:0009925,basal plasma membrane,"Ctnna2, Trpc4, Car2, Tjp1, Ank3, Plpp3",0.001696683
BC3,CC,GO:0008328,ionotropic glutamate receptor complex,"Gria4, Vwc2, Vwc2l",0.002172623
BC3,CC,GO:0099056,integral component of presynaptic membrane,"Cacna1h, Pcdh17, Cadm3",0.002172623
BC3,CC,GO:0098878,neurotransmitter receptor complex,"Gria4, Vwc2, Vwc2l",0.002385839
BC3,CC,GO:0045178,basal part of cell,"Ctnna2, Trpc4, Car2, Tjp1, Ank3, Plpp3",0.002385839
BC3,CC,GO:0043197,dendritic spine,"Gria4, Zfp804a, Tanc2, Ptprz1, Tenm2",0.002462235
BC3,CC,GO:0005938,cell cortex,"Grm7, Ctnna2, Unc13c, Trpc4, Cald1, Rims1",0.002462235
BC3,CC,GO:0044309,neuron spine,"Gria4, Zfp804a, Tanc2, Ptprz1, Tenm2",0.002626544
BC3,CC,GO:0099738,cell cortex region,"Ctnna2, Unc13c, Rims1",0.002842453
BC3,CC,GO:0030016,myofibril,"Ryr3, Sphkap, Pde4d, Scn1a, Ank3",0.003730647
BC3,CC,GO:0030018,Z disc,"Ryr3, Sphkap, Scn1a, Ank3",0.003871579
BC3,CC,GO:0005923,bicellular tight junction,"Tjp1, Jam3, Ank3, Cgn",0.004468139
BC3,CC,GO:0043292,contractile fiber,"Ryr3, Sphkap, Pde4d, Scn1a, Ank3",0.004470674
BC3,CC,GO:0005912,adherens junction,"Cdh11, Ctnna2, Cdh18, Tjp1",0.004623381
BC3,CC,GO:0031674,I band,"Ryr3, Sphkap, Scn1a, Ank3",0.005019212
BC3,CC,GO:0001518,voltage-gated sodium channel complex,"Cacna1h, Scn1a",0.00525534
BC3,CC,GO:0150034,distal axon,"Grm7, Unc13c, Gria4, Zfp804a, Ptprz1, Scgn",0.005338993
BC3,CC,GO:0070160,tight junction,"Tjp1, Jam3, Ank3, Cgn",0.005338993
BC3,CC,GO:0033268,node of Ranvier,"Scn1a, Ank3",0.006176472
BC3,CC,GO:0043194,axon initial segment,"Scn1a, Ank3",0.006525869
BC3,CC,GO:0008076,voltage-gated potassium channel complex,"Kcnmb2, Kcnh1, Kcnmb4",0.006525869
BC3,CC,GO:0016529,sarcoplasmic reticulum,"Ryr3, P3h2, Ank3",0.006525869
BC3,CC,GO:0043296,apical junction complex,"Tjp1, Jam3, Ank3, Cgn",0.006575051
BC3,CC,GO:0042383,sarcolemma,"Ryr3, Cacna1h, Scn1a, Ank3",0.007054038
BC3,CC,GO:0016528,sarcoplasm,"Ryr3, P3h2, Ank3",0.008368693
BC3,CC,GO:0044304,main axon,"Scn1a, Ank3, Kcnh1",0.008368693
BC3,CC,GO:0043679,axon terminus,"Grm7, Unc13c, Gria4, Scgn",0.010527172
BC3,CC,GO:0048787,presynaptic active zone membrane,"Grm7, Cacna1h",0.010527172
BC3,CC,GO:0098686,hippocampal mossy fiber to CA3 synapse,"Ctnna2, Stxbp5",0.011918786
BC3,CC,GO:0030017,sarcomere,"Ryr3, Sphkap, Scn1a, Ank3",0.011975012
BC3,CC,GO:0044306,neuron projection terminus,"Grm7, Unc13c, Gria4, Scgn",0.014749468
BC3,CC,GO:0098858,actin-based cell projection,"Ptprz1, Car2, Jam3, Pcdh15",0.018693926
BC3,CC,GO:0098984,neuron to neuron synapse,"Grm7, Ctnna2, Gria4, Stxbp5, Rims1",0.018693926
BC3,CC,GO:0005891,voltage-gated calcium channel complex,"Cacna1h, Pde4d",0.019626252
BC3,CC,GO:0030863,cortical cytoskeleton,"Trpc4, Cald1, Rims1",0.020405089
BC3,CC,GO:0031252,cell leading edge,"Ctnna2, Arhgap31, Lmo4, Ptprz1, Kcnh1",0.030807549
BC3,CC,GO:0019898,extrinsic component of membrane,"Cdh11, Ctnna2, Cdh18, Stxbp5",0.049629754
BC3,MF,GO:0050839,cell adhesion molecule binding,"Cntn5, Cdh11, Ctnna2, Cdh18, Trpc4, Ptprz1, Tjp1, Jam3, Ank3, Tenm2, Plpp3",7.73E-07
BC3,MF,GO:0005261,cation channel activity,"Cngb3, Slc24a3, Ryr3, Grm7, Kcnmb2, Cacna1h, Trpc4, Gria4, Scn1a, Kcnh1, Kcnmb4",1.05E-06
BC3,MF,GO:0005216,ion channel activity,"Cngb3, Slc24a3, Ryr3, Grm7, Kcnmb2, Cacna1h, Trpc4, Gria4, Scn1a, Kcnh1, Kcnmb4",1.21E-05
BC3,MF,GO:0015267,channel activity,"Cngb3, Slc24a3, Ryr3, Grm7, Kcnmb2, Cacna1h, Trpc4, Gria4, Scn1a, Kcnh1, Kcnmb4",1.94E-05
BC3,MF,GO:0022803,passive transmembrane transporter activity,"Cngb3, Slc24a3, Ryr3, Grm7, Kcnmb2, Cacna1h, Trpc4, Gria4, Scn1a, Kcnh1, Kcnmb4",1.94E-05
BC3,MF,GO:0022836,gated channel activity,"Cngb3, Ryr3, Grm7, Kcnmb2, Cacna1h, Gria4, Scn1a, Kcnh1, Kcnmb4",4.24E-05
BC3,MF,GO:0045296,cadherin binding,"Cdh11, Ctnna2, Cdh18, Trpc4, Ank3",9.91E-05
BC3,MF,GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity","Pde4d, Pde3a, Pde8a",0.000238201
BC3,MF,GO:0046873,metal ion transmembrane transporter activity,"Slc24a3, Ryr3, Grm7, Kcnmb2, Cacna1h, Trpc4, Scn1a, Kcnh1, Kcnmb4",0.000238201
BC3,MF,GO:0005262,calcium channel activity,"Slc24a3, Ryr3, Grm7, Cacna1h, Trpc4",0.000877115
BC3,MF,GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity","Pde4d, Pde3a, Pde8a",0.001286149
BC3,MF,GO:0015085,calcium ion transmembrane transporter activity,"Slc24a3, Ryr3, Grm7, Cacna1h, Trpc4",0.001391378
BC3,MF,GO:0004112,cyclic-nucleotide phosphodiesterase activity,"Pde4d, Pde3a, Pde8a",0.001391378
BC3,MF,GO:0030551,cyclic nucleotide binding,"Cngb3, Prkg1, Pde4d",0.003761804
BC3,MF,GO:0005516,calmodulin binding,"Ryr3, Grm7, Unc13c, Tjp1, Kcnh1",0.006189832
BC3,MF,GO:0015269,calcium-activated potassium channel activity,"Kcnmb2, Kcnmb4",0.009270569
BC3,MF,GO:0099106,ion channel regulator activity,"Grm7, Prkg1, Kcnmb2, Kcnmb4",0.012340789
BC3,MF,GO:0004089,carbonate dehydratase activity,"Car2, Car10",0.012340789
BC3,MF,GO:0030553,cGMP binding,"Cngb3, Prkg1",0.012340789
BC3,MF,GO:0016247,channel regulator activity,"Grm7, Prkg1, Kcnmb2, Kcnmb4",0.014088617
BC3,MF,GO:0044325,transmembrane transporter binding,"Pde4d, Ank3, Kcnh1, Rims1",0.014475856
BC3,MF,GO:0015079,potassium ion transmembrane transporter activity,"Slc24a3, Kcnmb2, Kcnh1, Kcnmb4",0.017180077
BC3,MF,GO:0017022,myosin binding,"Rab3c, Cald1, Stxbp5",0.018520052
BC3,MF,GO:0019199,transmembrane receptor protein kinase activity,"Epha3, Nrp2, Bmpr1b",0.018520052
BC3,MF,GO:0008373,sialyltransferase activity,"St6gal2, St6galnac5",0.018520052
BC3,MF,GO:0000030,mannosyltransferase activity,"Tmtc2, Tmtc1",0.021309188
BC3,MF,GO:0005248,voltage-gated sodium channel activity,"Cacna1h, Scn1a",0.021309188
BC3,MF,GO:0017075,syntaxin-1 binding,"Unc13c, Stxbp5",0.021309188
BC3,MF,GO:0008081,phosphoric diester hydrolase activity,"Pde4d, Pde3a, Pde8a",0.021309188
BC3,MF,GO:0005227,calcium activated cation channel activity,"Kcnmb2, Kcnmb4",0.021861061
BC3,MF,GO:0008066,glutamate receptor activity,"Grm7, Gria4",0.022870231
BC3,MF,GO:0005244,voltage-gated ion channel activity,"Grm7, Cacna1h, Scn1a, Kcnh1",0.023692108
BC3,MF,GO:0022832,voltage-gated channel activity,"Grm7, Cacna1h, Scn1a, Kcnh1",0.023692108
BC3,MF,GO:0005217,intracellular ligand-gated ion channel activity,"Cngb3, Ryr3",0.023692108
BC3,MF,GO:0016829,lyase activity,"Car2, Me3, Car10, Aldoc",0.023692108
BC3,MF,GO:0099094,ligand-gated cation channel activity,"Cngb3, Ryr3, Gria4",0.028503217
BC3,MF,GO:0098632,cell-cell adhesion mediator activity,"Cntn5, Jam3",0.028873503
BC3,MF,GO:0042578,phosphoric ester hydrolase activity,"Pde4d, Pde3a, Pde8a, Ptprz1, Plpp3",0.036128594
BC3,MF,GO:0005267,potassium channel activity,"Kcnmb2, Kcnh1, Kcnmb4",0.040150845
BC3,MF,GO:0005246,calcium channel regulator activity,"Grm7, Prkg1",0.043229082
BC3,MF,GO:0022839,ion gated channel activity,"Kcnmb2, Kcnmb4",0.043229082
BC3,MF,GO:0098631,cell adhesion mediator activity,"Cntn5, Jam3",0.043229082
BC3,MF,GO:0005272,sodium channel activity,"Cacna1h, Scn1a",0.046196396
BC3,MF,GO:0015276,ligand-gated ion channel activity,"Cngb3, Ryr3, Gria4",0.049034291
BC3,MF,GO:0022834,ligand-gated channel activity,"Cngb3, Ryr3, Gria4",0.049034291
BC3,MF,GO:0005245,voltage-gated calcium channel activity,"Grm7, Cacna1h",0.049034291
BC7,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,"Fat3, Cdh8, Epha3, Nrxn1, Mdga2, Cdh18, Nlgn1, Tenm2, Tenm3, Ptprd, Fat4, Esam, Clstn2, Lrrc4c, Ntng1, Cdh10, Grid2, Dscam, Efna5",7.90E-19
BC7,BP,GO:0050808,synapse organization,"Cdh8, Epha3, Nrxn1, Mdga2, Nlgn1, Epha5, Gabra1, Erbb4, Ptprd, Gabrb2, Sorbs2, Clstn2, App, Lrrc4c, Zfp804a, Grin2b, Tanc2, Ntng1, Grid2, Efna5, Iqsec3, Rock2",4.76E-16
BC7,BP,GO:0034329,cell junction assembly,"Cdh8, Epha3, Nrxn1, Mdga2, Cdh18, Nlgn1, Gabra1, Erbb4, Ptprd, Gabrb2, Esam, Clstn2, App, Cdh10, Grid2, Efna5, Dst, Rock2",3.50E-12
BC7,BP,GO:0099560,synaptic membrane adhesion,"Epha3, Nrxn1, Mdga2, Nlgn1, Ptprd, Lrrc4c, Ntng1, Efna5",8.35E-11
BC7,BP,GO:0042391,regulation of membrane potential,"Gabrb1, Grik1, Nrxn1, Nlgn1, Glra1, Gabra1, Ryr2, Rims1, Kcnh7, Gabrb2, App, Grin2b, Grid2, Hcn4, Cacna2d1",1.40E-08
BC7,BP,GO:0007416,synapse assembly,"Nrxn1, Mdga2, Nlgn1, Gabra1, Erbb4, Ptprd, Gabrb2, Clstn2, App, Grid2, Efna5",1.41E-08
BC7,BP,GO:0050806,positive regulation of synaptic transmission,"Adcy8, Grik1, Nrxn1, Gria2, Nlgn1, Erbb4, Rims1, Scgn, Clstn2, App, Grin2b, Gria4, Car2",1.71E-08
BC7,BP,GO:0050807,regulation of synapse organization,"Cdh8, Nrxn1, Mdga2, Nlgn1, Ptprd, Clstn2, App, Zfp804a, Grin2b, Tanc2, Grid2, Efna5",1.71E-08
BC7,BP,GO:0099173,postsynapse organization,"Nrxn1, Nlgn1, Epha5, Ptprd, Sorbs2, App, Zfp804a, Grin2b, Tanc2, Grid2, Rock2",1.71E-08
BC7,BP,GO:0050803,regulation of synapse structure or activity,"Cdh8, Nrxn1, Mdga2, Nlgn1, Ptprd, Clstn2, App, Zfp804a, Grin2b, Tanc2, Grid2, Efna5",1.99E-08
BC7,BP,GO:0060078,regulation of postsynaptic membrane potential,"Grik1, Nrxn1, Nlgn1, Glra1, Gabra1, Rims1, App, Grin2b, Grid2",3.11E-08
BC7,BP,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,"Nrxn1, Nlgn1, Tenm2, Tenm3, Ptprd, Fat4, Grid2",4.11E-08
